gender,race_group,parent_education,lunch,test_prep,math_score,reading_score,writing_score
Female,B,bachelor's degree,standard,yes,66,74,81
Female,C,high school,standard,no,75,88,85
Male,D,some high school,standard,no,84,84,80
Male,A,high school,standard,no,71,74,64
Female,B,high school,free/reduced,yes,67,80,81
Female,D,some high school,standard,yes,80,92,88
Male,E,some college,standard,no,86,76,74
Female,D,associate's degree,standard,no,76,74,73
Male,D,high school,standard,no,41,52,51
Female,D,associate's degree,free/reduced,yes,74,88,90
Female,B,some high school,free/reduced,no,72,81,79
Female,E,high school,standard,yes,74,79,80
Male,B,high school,standard,no,70,65,60
Female,B,bachelor's degree,standard,yes,65,81,81
Female,D,associate's degree,standard,no,59,70,65
Female,E,high school,free/reduced,no,64,62,68
Female,B,high school,standard,no,50,53,55
Female,D,some college,standard,yes,69,79,81
Male,C,some high school,free/reduced,yes,51,56,53
Female,A,high school,standard,yes,68,80,76
Female,D,some college,standard,yes,85,86,98
Female,A,associate's degree,standard,yes,65,70,74
Female,B,some high school,standard,no,73,79,79
Female,B,some college,standard,no,62,67,67
Male,C,associate's degree,free/reduced,no,77,67,64
Male,D,some high school,standard,no,69,66,61
Female,D,associate's degree,free/reduced,no,43,60,58
Male,D,associate's degree,standard,no,90,87,85
Male,C,some college,free/reduced,no,74,77,73
Male,C,some high school,standard,no,73,66,63
Female,D,some college,free/reduced,no,55,71,69
Female,C,high school,standard,no,65,69,67
Male,D,associate's degree,standard,no,80,63,63
Female,C,some high school,free/reduced,yes,50,60,60
Female,C,some college,free/reduced,yes,63,73,71
Female,B,bachelor's degree,free/reduced,no,77,85,87
Male,C,some college,standard,no,73,74,61
Male,D,associate's degree,standard,yes,81,72,77
Female,C,high school,free/reduced,no,66,76,68
Male,D,associate's degree,free/reduced,no,52,57,50
Female,C,some college,standard,no,69,78,76
Female,C,associate's degree,standard,yes,65,84,84
Female,D,high school,standard,yes,69,77,78
Female,B,some college,standard,yes,50,64,66
Female,E,some college,standard,yes,73,78,76
Female,C,some high school,standard,yes,70,82,76
Male,D,associate's degree,free/reduced,no,81,75,78
Male,D,some college,free/reduced,no,63,61,60
Female,D,high school,standard,no,67,72,74
Male,B,high school,standard,no,60,68,60
Male,B,high school,standard,no,62,55,54
Female,C,some high school,free/reduced,yes,29,40,44
Male,B,some college,standard,yes,62,66,68
Female,E,master's degree,standard,yes,94,99,100
Male,E,some college,standard,yes,85,75,68
Male,D,associate's degree,free/reduced,no,77,78,73
Male,A,high school,free/reduced,no,53,58,44
Male,E,some college,free/reduced,no,93,90,83
Female,C,associate's degree,standard,no,49,53,53
Female,E,associate's degree,free/reduced,no,73,76,78
Female,C,bachelor's degree,free/reduced,yes,66,74,81
Female,D,associate's degree,standard,no,77,77,73
Female,C,some high school,standard,no,49,63,56
Female,D,some college,free/reduced,no,79,89,86
Female,C,associate's degree,standard,yes,75,82,90
Female,A,bachelor's degree,standard,no,59,72,70
Female,D,associate's degree,standard,yes,57,78,79
Male,C,high school,free/reduced,no,66,66,59
Female,E,bachelor's degree,standard,yes,79,81,82
Female,B,some high school,standard,no,57,67,72
Male,A,bachelor's degree,standard,yes,87,84,87
Female,D,some college,standard,no,63,64,67
Female,B,some high school,free/reduced,yes,59,63,64
Male,A,bachelor's degree,free/reduced,no,62,72,65
Male,D,high school,standard,no,46,34,36
Male,C,some college,standard,no,66,59,52
Male,D,high school,standard,no,89,87,79
Female,D,associate's degree,free/reduced,yes,42,61,58
Male,C,some college,standard,yes,93,84,90
Female,E,some high school,standard,yes,80,85,85
Female,D,some college,standard,no,98,100,99
Male,D,master's degree,standard,no,81,81,84
Female,B,some high school,standard,yes,60,70,74
Female,B,associate's degree,free/reduced,yes,76,94,87
Male,C,associate's degree,standard,yes,73,78,72
Female,C,associate's degree,standard,yes,96,96,99
Female,C,high school,standard,no,76,76,74
Male,E,associate's degree,free/reduced,yes,91,73,80
Female,C,some college,free/reduced,no,62,72,70
Male,D,some high school,free/reduced,yes,55,59,59
Female,B,some high school,free/reduced,yes,74,90,88
Male,C,high school,standard,no,50,48,42
Male,B,some college,standard,no,47,43,41
Male,E,some college,standard,yes,81,74,71
Female,E,associate's degree,standard,yes,65,75,77
Male,E,some high school,standard,yes,68,51,57
Female,D,high school,free/reduced,no,73,92,84
Male,C,some college,standard,no,53,39,37
Female,B,associate's degree,free/reduced,yes,68,77,80
Male,A,some high school,free/reduced,no,55,46,43
Female,C,some college,standard,yes,87,89,94
Male,D,some high school,standard,no,55,47,44
Female,E,some college,free/reduced,no,53,58,57
Male,C,master's degree,standard,no,67,57,59
Male,C,associate's degree,standard,no,92,79,84
Female,B,some college,free/reduced,yes,53,66,73
Male,D,associate's degree,standard,no,81,71,73
Male,C,high school,free/reduced,no,61,60,55
Male,D,bachelor's degree,standard,no,80,73,72
Female,A,associate's degree,free/reduced,no,37,57,56
Female,C,high school,standard,no,81,84,82
Female,C,associate's degree,standard,yes,59,73,72
Male,B,some college,free/reduced,no,55,55,47
Male,D,associate's degree,standard,no,72,79,74
Male,D,high school,standard,no,69,75,71
Male,C,some college,standard,no,69,64,68
Female,C,bachelor's degree,free/reduced,no,50,60,59
Male,B,some college,standard,yes,87,84,86
Male,D,some high school,standard,yes,71,69,68
Male,E,some college,standard,no,68,72,65
Male,C,master's degree,free/reduced,yes,79,77,75
Female,C,some high school,standard,yes,77,90,85
Male,C,associate's degree,free/reduced,no,58,55,53
Female,E,associate's degree,standard,no,84,95,92
Male,D,some college,standard,no,55,58,52
Male,E,bachelor's degree,free/reduced,yes,70,68,72
Female,D,some college,free/reduced,yes,52,59,65
Male,B,some college,standard,yes,69,77,77
Female,C,high school,free/reduced,no,53,72,64
Female,D,some high school,standard,no,48,58,54
Male,D,some high school,standard,yes,78,81,86
Female,B,high school,standard,no,62,62,63
Male,D,some college,standard,no,60,63,59
Female,B,high school,standard,no,74,72,72
Female,C,high school,standard,yes,58,75,77
Male,B,high school,standard,yes,76,62,60
Female,D,some high school,standard,no,68,71,75
Male,A,some college,free/reduced,no,58,60,57
Male,B,high school,standard,no,52,48,49
Male,D,bachelor's degree,standard,no,75,73,74
Female,B,some high school,free/reduced,yes,52,67,72
Female,C,bachelor's degree,free/reduced,no,62,78,79
Male,B,some college,standard,no,66,65,60
Female,B,some high school,free/reduced,no,49,58,55
Female,B,high school,standard,no,66,72,70
Female,C,some college,free/reduced,no,35,44,43
Female,A,some college,standard,yes,72,79,82
Male,E,associate's degree,standard,yes,94,85,82
Female,D,associate's degree,free/reduced,no,46,56,57
Female,B,master's degree,standard,no,77,90,84
Female,B,high school,free/reduced,yes,76,85,82
Female,C,associate's degree,standard,yes,52,59,62
Male,C,bachelor's degree,standard,yes,91,81,79
Female,B,some high school,standard,yes,32,51,44
Female,E,some high school,free/reduced,no,72,79,77
Female,B,some college,standard,no,19,38,32
Male,C,associate's degree,free/reduced,no,68,65,61
Female,C,master's degree,free/reduced,no,52,65,61
Female,B,high school,standard,no,48,62,60
Female,D,some college,free/reduced,no,60,66,70
Male,D,high school,free/reduced,no,66,74,69
Male,E,some high school,standard,yes,89,84,77
Female,B,high school,standard,no,42,52,51
Female,E,associate's degree,free/reduced,yes,57,68,73
Male,D,high school,standard,no,70,70,70
Female,E,associate's degree,free/reduced,no,70,84,81
Male,E,some college,standard,no,69,60,54
Female,C,associate's degree,standard,no,52,55,57
Male,C,some high school,standard,yes,67,73,68
Male,C,some high school,standard,yes,76,80,73
Female,E,associate's degree,standard,no,87,94,95
Female,B,some college,standard,no,82,85,87
Female,C,some college,standard,no,73,76,78
Male,A,some college,free/reduced,no,75,81,74
Female,D,some college,free/reduced,no,64,74,75
Female,E,high school,free/reduced,no,41,45,40
Male,C,high school,standard,no,90,75,69
Male,B,bachelor's degree,standard,no,59,54,51
Male,A,some high school,standard,no,51,31,36
Male,A,high school,free/reduced,no,45,47,49
Female,C,master's degree,standard,yes,54,64,67
Male,E,some high school,standard,yes,87,84,76
Female,C,high school,standard,no,72,80,83
Male,B,some high school,standard,yes,94,86,87
Female,A,bachelor's degree,standard,no,45,59,64
Male,D,bachelor's degree,free/reduced,yes,61,70,76
Female,B,high school,free/reduced,no,60,72,68
Female,C,some high school,standard,no,77,91,88
Female,A,some high school,standard,yes,85,90,92
Female,D,bachelor's degree,free/reduced,no,78,90,93
Male,E,some college,free/reduced,yes,49,52,51
Female,B,high school,free/reduced,no,71,87,82
Female,C,some high school,free/reduced,no,48,58,52
Male,C,high school,standard,no,62,67,58
Female,C,associate's degree,free/reduced,yes,56,68,70
Female,C,some high school,standard,no,65,69,76
Female,D,some high school,free/reduced,yes,69,86,81
Male,B,some high school,standard,no,68,54,53
Female,A,some college,free/reduced,no,61,60,57
Female,C,bachelor's degree,free/reduced,yes,74,86,89
Male,A,bachelor's degree,standard,no,64,60,58
Female,B,high school,standard,yes,77,82,89
Male,B,some college,standard,no,58,50,45
Female,C,high school,standard,yes,60,64,74
Male,E,high school,standard,no,73,64,57
Female,A,high school,standard,yes,75,82,79
Male,B,associate's degree,free/reduced,yes,58,57,53
Female,C,associate's degree,standard,no,66,77,73
Female,D,high school,free/reduced,no,39,52,46
Male,C,some high school,standard,no,64,58,51
Female,B,high school,free/reduced,yes,23,44,36
Male,B,some college,free/reduced,yes,74,77,76
Female,D,some high school,free/reduced,yes,40,65,64
Male,E,master's degree,standard,no,90,85,84
Male,C,master's degree,standard,yes,91,85,85
Male,D,high school,standard,no,64,54,50
Female,C,high school,standard,no,59,72,68
Male,D,associate's degree,standard,no,80,75,69
Male,C,master's degree,standard,no,71,67,67
Female,A,high school,standard,no,61,68,63
Female,E,some college,standard,no,87,85,93
Male,E,some high school,standard,no,82,67,61
Male,C,some high school,standard,no,62,64,55
Female,B,bachelor's degree,standard,no,97,97,96
Male,B,some college,free/reduced,no,75,68,65
Female,C,bachelor's degree,standard,no,65,79,81
Male,B,high school,standard,yes,52,49,46
Male,C,associate's degree,free/reduced,no,87,73,72
Female,C,associate's degree,standard,no,53,62,53
Female,E,master's degree,free/reduced,no,81,86,87
Male,D,bachelor's degree,free/reduced,yes,39,42,38
Female,C,some college,standard,yes,71,71,80
Male,C,associate's degree,standard,no,97,93,91
Male,D,some college,standard,yes,82,82,88
Male,C,high school,free/reduced,no,59,53,52
Male,B,associate's degree,standard,no,61,42,41
Male,E,associate's degree,free/reduced,yes,78,74,72
Male,C,associate's degree,free/reduced,no,49,51,51
Male,B,high school,standard,no,59,58,47
Female,C,some college,standard,yes,70,72,76
Male,B,associate's degree,standard,yes,82,84,78
Male,E,associate's degree,free/reduced,no,90,90,82
Female,C,bachelor's degree,free/reduced,no,43,62,61
Male,C,some college,free/reduced,no,80,64,66
Male,D,some college,standard,no,81,82,84
Male,C,some high school,standard,no,57,61,54
Female,D,some high school,standard,no,59,72,80
Female,D,associate's degree,standard,no,64,76,74
Male,C,bachelor's degree,standard,yes,63,64,66
Female,E,bachelor's degree,standard,yes,71,70,70
Female,B,high school,free/reduced,no,64,73,71
Male,D,bachelor's degree,free/reduced,no,55,46,44
Female,E,associate's degree,standard,no,51,51,54
Female,C,associate's degree,standard,yes,62,76,80
Female,E,associate's degree,standard,yes,93,100,95
Male,C,high school,free/reduced,no,54,72,59
Female,D,some college,free/reduced,no,69,65,74
Male,D,high school,free/reduced,no,44,51,48
Female,E,some college,standard,yes,86,85,91
Female,E,associate's degree,standard,no,85,92,85
Female,A,master's degree,free/reduced,no,50,67,73
Male,D,some high school,standard,yes,88,74,75
Female,E,associate's degree,standard,no,59,62,69
Female,E,some high school,free/reduced,no,32,34,38
Male,B,high school,free/reduced,no,36,29,27
Female,B,some high school,free/reduced,yes,63,78,79
Male,D,associate's degree,standard,yes,67,54,63
Female,D,some high school,standard,yes,65,78,82
Male,D,master's degree,standard,no,85,84,89
Female,C,master's degree,standard,no,73,78,74
Female,A,high school,free/reduced,yes,34,48,41
Female,D,bachelor's degree,free/reduced,yes,93,100,100
Female,D,some high school,free/reduced,no,67,84,84
Male,D,some college,standard,no,88,77,77
Male,B,high school,standard,no,57,48,51
Female,D,some college,standard,yes,79,84,91
Female,C,bachelor's degree,free/reduced,no,67,75,72
Male,E,bachelor's degree,standard,yes,70,64,70
Male,D,bachelor's degree,free/reduced,no,50,42,48
Female,A,some college,standard,no,69,84,82
Female,C,bachelor's degree,standard,yes,52,61,66
Female,C,bachelor's degree,free/reduced,yes,47,62,66
Female,B,associate's degree,free/reduced,no,46,61,55
Female,E,some college,standard,no,68,70,66
Male,E,bachelor's degree,standard,yes,100,100,100
Female,C,high school,standard,no,44,61,52
Female,C,associate's degree,standard,yes,57,77,80
Male,B,some college,standard,yes,91,96,91
Male,D,high school,free/reduced,no,69,70,67
Female,C,high school,free/reduced,no,35,53,46
Male,D,high school,standard,no,72,66,66
Female,B,associate's degree,free/reduced,no,54,65,65
Male,D,high school,free/reduced,no,74,70,69
Male,E,some high school,standard,yes,74,64,60
Male,E,associate's degree,free/reduced,no,64,56,52
Female,D,high school,free/reduced,yes,65,61,71
Male,E,associate's degree,free/reduced,yes,46,43,44
Female,C,some high school,free/reduced,no,48,56,51
Male,C,some college,free/reduced,yes,67,74,70
Male,D,some college,free/reduced,no,62,57,62
Male,D,associate's degree,free/reduced,yes,61,71,73
Male,C,bachelor's degree,free/reduced,yes,70,75,74
Male,C,associate's degree,standard,yes,98,87,90
Male,D,some college,free/reduced,no,70,63,58
Male,A,associate's degree,standard,no,67,57,53
Female,E,high school,free/reduced,no,57,58,57
Male,D,some college,standard,yes,85,81,85
Male,D,some high school,standard,yes,77,68,69
Male,C,master's degree,free/reduced,yes,72,66,72
Female,D,master's degree,standard,no,78,91,96
Male,C,high school,standard,no,81,66,64
Male,A,some high school,free/reduced,yes,61,62,61
Female,B,high school,standard,no,58,68,61
Female,C,associate's degree,standard,no,54,61,58
Male,B,high school,standard,no,82,82,80
Female,D,some college,free/reduced,no,49,58,60
Male,B,some high school,free/reduced,yes,49,50,52
Female,E,high school,free/reduced,yes,57,75,73
Male,E,high school,standard,no,94,73,71
Female,D,some college,standard,yes,75,77,83
Female,E,some high school,free/reduced,no,74,74,72
Male,C,high school,standard,yes,58,52,54
Female,C,some college,standard,no,62,69,69
Male,E,associate's degree,standard,no,72,57,62
Male,C,some college,standard,no,84,87,81
Female,D,master's degree,standard,no,92,100,100
Female,D,high school,standard,no,45,63,59
Male,C,high school,standard,no,75,81,71
Female,A,some college,standard,no,56,58,64
Female,D,some high school,free/reduced,no,48,54,53
Female,E,associate's degree,standard,no,100,100,100
Female,C,some high school,free/reduced,yes,65,76,75
Male,D,some college,standard,no,72,57,58
Female,D,some college,standard,no,62,70,72
Male,A,some high school,standard,yes,66,68,64
Male,C,some college,standard,no,63,63,60
Female,E,associate's degree,standard,no,68,76,67
Female,B,bachelor's degree,standard,no,75,84,80
Female,D,bachelor's degree,standard,no,89,100,100
Male,C,some high school,standard,yes,78,72,69
Female,A,high school,free/reduced,yes,53,50,60
Female,D,some college,free/reduced,no,49,65,61
Female,A,some college,standard,no,54,63,67
Female,C,some college,standard,yes,64,82,77
Male,B,some college,free/reduced,yes,60,62,60
Male,C,associate's degree,standard,no,62,65,58
Male,D,high school,standard,yes,55,41,48
Female,C,associate's degree,standard,no,91,95,94
Female,B,high school,free/reduced,no,8,24,23
Male,D,some high school,standard,no,81,78,78
Male,B,some high school,standard,yes,79,85,86
Female,A,some college,standard,yes,78,87,91
Female,C,some high school,standard,no,74,75,82
Male,A,high school,standard,no,57,51,54
Female,C,associate's degree,standard,no,40,59,51
Male,E,some high school,standard,yes,81,75,76
Female,A,some high school,free/reduced,no,44,45,45
Female,D,some college,free/reduced,yes,67,86,83
Male,E,high school,free/reduced,yes,86,81,75
Female,B,some high school,standard,yes,65,82,78
Female,D,associate's degree,free/reduced,no,55,76,76
Female,D,bachelor's degree,free/reduced,no,62,72,74
Male,A,high school,standard,no,63,63,62
Female,E,master's degree,standard,yes,88,99,95
Male,C,high school,free/reduced,no,62,55,55
Female,C,high school,free/reduced,yes,59,71,65
Female,D,some college,standard,yes,68,78,77
Female,D,some college,free/reduced,no,77,86,86
